,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,-0.9678231806168751,0.01015381446653529,-0.48473041036431264,1.0,-0.9678231806168751,0.31233624506319696,-0.9678231806168751,-0.9678231806168751,0.8609038518132797,-0.8795403818097933
TR,-0.9678231806168751,1.0,-0.26144538519532134,0.2490406213506187,-0.9678231806168751,1.0,-0.0632437034806173,1.0,1.0,-0.7051808502349156,0.9709718253865266
BC,0.01015381446653529,-0.26144538519532134,1.0,0.86969665650354,0.01015381446653529,-0.26144538519532134,-0.9467512388178443,-0.26144538519532134,-0.26144538519532134,-0.5,-0.4847304103643127
CNC,-0.48473041036431264,0.2490406213506187,0.86969665650354,1.0,-0.48473041036431264,0.2490406213506187,-0.9823044779883734,0.2490406213506187,0.2490406213506187,-0.8623068575267427,0.010153814466535292
DC,1.0,-0.9678231806168751,0.01015381446653529,-0.48473041036431264,1.0,-0.9678231806168751,0.31233624506319696,-0.9678231806168751,-0.9678231806168751,0.8609038518132797,-0.8795403818097933
EC,-0.9678231806168751,1.0,-0.26144538519532134,0.2490406213506187,-0.9678231806168751,1.0,-0.0632437034806173,1.0,1.0,-0.7051808502349156,0.9709718253865266
PR,0.31233624506319696,-0.0632437034806173,-0.9467512388178443,-0.9823044779883734,0.31233624506319696,-0.0632437034806173,1.0,-0.0632437034806173,-0.0632437034806173,0.7522063365970716,0.1773071910496217
TC,-0.9678231806168751,1.0,-0.26144538519532134,0.2490406213506187,-0.9678231806168751,1.0,-0.0632437034806173,1.0,1.0,-0.7051808502349156,0.9709718253865266
PI,-0.9678231806168751,1.0,-0.26144538519532134,0.2490406213506187,-0.9678231806168751,1.0,-0.0632437034806173,1.0,1.0,-0.7051808502349156,0.9709718253865266
CC,0.8609038518132797,-0.7051808502349156,-0.5,-0.8623068575267427,0.8609038518132797,-0.7051808502349156,0.7522063365970716,-0.7051808502349156,-0.7051808502349156,1.0,-0.5151157001554197
TPN,-0.8795403818097933,0.9709718253865266,-0.4847304103643127,0.010153814466535292,-0.8795403818097933,0.9709718253865266,0.1773071910496217,0.9709718253865266,0.9709718253865266,-0.5151157001554197,1.0
